"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1536.271,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1642.047,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1726.862,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1838.553,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1956.897,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.657,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2289.436,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2577.015,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2816.897,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2994.996,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3197.64,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3421.858,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.357,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4091.385,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.681,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4381.229,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4565.873,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4790.513,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5005.316,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1995",2083.931,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1996",2158.958,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1997",2263.036,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1998",2427.098,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1999",2569.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2802.259,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2857.775,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",3101.021,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3198.034,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3411.471,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3475.868,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3631.747,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3794.318,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",4009.307,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4100.199,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4257.215,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.587,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4944.771,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5139.924,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5270.235,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5395.106,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1995",1668.985,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1996",1766.814,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1997",1813.119,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1998",1880.839,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1999",2011.684,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2296.835,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2403.121,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2644.145,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2899.014,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",3038.701,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2005",3045.334,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2006",3130.953,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2007",3248.904,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2008",3472.416,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2009",3677.588,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2010",3840.327,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",3998.296,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4160.898,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4349.432,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4477.796,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4526.597,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4666.226,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",4832.265,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",4943.537,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1995",1984.313,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1996",1999.185,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1997",2091.516,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1998",2199.798,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1999",2278.254,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2000",2451.054,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2001",2622.87,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2002",2758.211,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2003",2913.291,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2004",3121.349,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2005",3292.054,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2006",3497.477,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2007",3717.581,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2008",3862.203,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2009",3964.489,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4166.696,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4226.516,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4285.693,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4365.618,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4463.64,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4550.831,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4698.016,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4811.79,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",4974.33,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1995",811.849,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1996",861.559,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1997",871.358,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1998",889.615,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1999",951.854,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2000",1025.421,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2001",1159.721,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2002",1267.68,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2003",1393.838,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2004",1464.272,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2005",1523.395,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2006",1558.812,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2007",1659.91,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2008",1822.937,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2009",2053.78,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2010",2001.123,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2011",2041.899,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2012",2090.485,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2013",2448.529,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2014",2564.609,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2545.511,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2627.698,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2850.406,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3057.615,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1995",1713.22,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1996",1812.689,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1997",1889.861,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1998",1913.351,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1999",2181.669,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2000",2344.337,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2001",2471.193,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2002",2711.668,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2003",2723.136,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2004",2921.07,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2005",3014.982,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2006",3286.325,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2007",3561.843,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2008",3777.707,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2009",4025.963,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2010",4160.049,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2011",4169.775,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2012",4315.127,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2013",4455.751,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2014",4536.239,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4674.496,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4774.269,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5024.522,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5298.821,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","1995",1344.759,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1996",1417.136,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1997",1473.861,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1998",1523.296,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1999",1609.61,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2000",1807.323,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2001",1908.357,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2002",2122.707,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2003",2197.509,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2004",2394.239,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2005",2480.768,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2006",2654.806,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2007",2902.539,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2008",3134.105,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2009",3172.93,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2010",3308.215,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2011",3474.837,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2012",3651.171,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2013",3794.525,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2014",3812.836,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3990.642,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4023.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4126.719,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4228.211,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","1995",2098.703,"B"
